timestamp,action,price,position_size,reason,decision_source,cash_before,btc_before,portfolio_value_before,rsi,atr,trend,trade_amount,btc_traded,type,cash_after,btc_after,portfolio_value_after,realized_profit,profit
2025-06-09,BUY,105706.34,10.0,Bullish momentum with room to grow,RULES,100000.0,0.0,100000.0,57.44697209147356,340.6021428571434,BULLISH,10000.0,0.09460170506329138,BUY,90000.0,0.09460170506329138,100000.0,0.0,
2025-06-11,BUY,109825.54,10.0,Bullish momentum with room to grow,RULES,90000.0,0.09460170506329138,100398.04329617316,55.61518152809356,706.5914285714316,BULLISH,9000.0,0.08194815158659817,BUY,81000.0,0.17654985664988954,100389.68334349671,0.0,
2025-06-14,SELL,105826.32,10.0,Bearish momentum building,RULES,81000.0,0.17654985664988954,99325.48847607247,64.02828312587488,602.9642857142846,BEARISH,1868.362162578534,0.017654985664988954,SELL,82868.36216257853,0.15889487098490057,99683.62162578534,0.0,0.0
2025-06-19,SELL,104944.06,10.0,Bearish momentum building,RULES,82868.36216257853,0.15889487098490057,99527.34216437684,57.74671387201982,751.7521428571428,BEARISH,1667.5072874331665,0.015889487098490057,SELL,84535.8694500117,0.14300538388641051,99543.4350369102,0.0,0.0
2025-06-20,SELL,104692.74,10.0,Bearish momentum building,RULES,84535.8694500117,0.14300538388641051,99543.4350369102,44.86228739495019,408.12714285714173,BEARISH,1497.1625473820166,0.014300538388641051,SELL,86033.03199739371,0.12870484549776945,99507.49492383187,0.0,0.0
2025-06-22,SELL,102852.0,10.0,Bearish momentum building,RULES,86033.03199739371,0.12870484549776945,99321.5588946866,40.11811198437007,674.1521428571432,BEARISH,1323.7550769136585,0.012870484549776946,SELL,87356.78707430737,0.1158343609479925,99270.5827665303,0.0,0.0
2025-06-26,BUY,107320.0,10.0,Bullish momentum with room to grow,RULES,87356.78707430737,0.1158343609479925,99682.41330338313,53.18538125479418,527.6299999999994,BULLISH,8735.678707430738,0.08139842254408067,BUY,78621.10836687664,0.19723278349207318,99788.13069124593,0.0,
2025-06-29,BUY,107475.92,10.0,Bullish momentum with room to grow,RULES,78621.10836687664,0.19723278349207318,99737.67657290082,55.62735625122162,181.80714285714203,BULLISH,7862.110836687664,0.07315230087528131,BUY,70758.99753018898,0.2703850843673545,99818.88322684802,0.0,
2025-06-30,BUY,108713.81,10.0,Bullish momentum with room to grow,RULES,70758.99753018898,0.2703850843673545,99818.88322684802,59.38526552658284,394.5928571428563,BULLISH,7075.899753018898,0.06508740474663613,BUY,63683.09777717008,0.33547248911399064,100153.59021893553,0.0,
2025-07-04,BUY,109478.94,10.0,Bullish momentum with room to grow,RULES,63683.09777717008,0.33547248911399064,100221.08392902036,45.68269749056725,537.7357142857135,BULLISH,6368.309777717008,0.058169267785356776,BUY,57314.78799945307,0.39364175689934744,100410.27028453132,0.0,
2025-07-07,BUY,108823.07,8.0,Strong uptrend confirmation,RULES,57314.78799945307,0.39364175689934744,99909.5776518432,65.37253655905272,424.56857142857086,BULLISH,4585.183039956245,0.04213429229625892,BUY,52729.60495949682,0.43577604919560636,100152.09246543373,0.0,
2025-07-09,BUY,108940.39,10.0,Bullish momentum with room to grow,RULES,52729.60495949682,0.43577604919560636,99924.1467296205,51.903444665331826,367.5157142857112,BULLISH,5272.960495949683,0.04840225462704588,BUY,47456.64446354714,0.48417830382265226,100203.21771152537,0.0,
2025-07-10,BUY,110916.66,8.0,Strong uptrend confirmation,RULES,47456.64446354714,0.48417830382265226,100203.21771152537,65.85394615195936,697.2921428571426,BULLISH,3796.5315570837715,0.0342286862684449,BUY,43660.11290646337,0.5184069900910971,101160.08476802096,0.0,
2025-07-12,BUY,117407.99,10.0,Bullish momentum with room to grow,RULES,43660.11290646337,0.5184069900910971,103583.10348749705,41.33569281051656,612.3678571428567,BULLISH,4366.011290646337,0.03718666242941675,BUY,39294.10161581703,0.5555936525205138,104525.235615009,0.0,
2025-07-13,BUY,117316.1,10.0,Bullish momentum with room to grow,RULES,39294.10161581703,0.5555936525205138,104525.235615009,35.67034373705826,369.3664285714279,BULLISH,3929.4101615817035,0.0334942106120277,BUY,35364.691454235326,0.5890878631325416,104474.1821142789,0.0,
2025-07-21,SELL,117352.06,10.0,Bearish momentum building,RULES,35364.691454235326,0.5890878631325416,104843.07482505112,41.00881091251787,540.6121428571423,BEARISH,6913.067425960181,0.05890878631325416,SELL,42277.758880195506,0.5301790768192874,104495.36571383713,3376.5982805366484,3376.5982805366484
